concept	0.0133333 0.0133333 31.0133 0 0.08 0.706667 1.13333 0 0.04 0
consider	0 112.573 0 0 0 0 0 4.29333 5.13333 0
global	0.533333 0 0.0666667 83.8 0 0 0.6 0 0 0
entropy	0.12 0 16.84 0 0.0266667 0 0 0 0.0133333 0
go	0 0 0.133333 0 2.93333 15.4533 2.44 16.9867 0.04 0.0133333
contributions	18.6933 0.0933333 0.0666667 1.48 0 0.0133333 0 1.57333 0 0.08
excludes	0.773333 0.266667 0 0.0133333 1.58667 0.16 0.2 0 0 0
depend	0.0266667 0 0 0 0 12.7467 0 0.0933333 46.12 0.0133333
graph	0.0133333 26.1467 0 0.0133333 0.146667 0.0133333 0.0133333 0.12 0.0666667 7.46667
environment	0.0133333 0 40.2267 4.48 0.24 0.466667 0.613333 1.93333 0.0266667 0
program	19.84 0 0.253333 0.0933333 0 0 0.253333 0.04 24.36 0.16
under	0.12 0.186667 5.85333 116.467 0 0.0133333 5.34667 0.0133333 0 0
undirected	0 0 0.0133333 0.2 0.32 0.0133333 1.62667 0.6 0 0.226667
random	0 0 0.173333 0.0533333 3.10667 0.0266667 0.24 0.0133333 0.0133333 118.373
very	0.0133333 75.44 0 0 0 12.2 3 19.4133 0 74.9333
putting	0.746667 0 0.893333 0 0 1.4 0 0.653333 1.24 0.0666667
difference	0 96.0667 0.0133333 0 5.2 0.0533333 3.36 0.0533333 0 0.253333
entire	0.0933333 0.04 4.04 0.0133333 0 1.61333 0.56 67.5467 0.08 0.0133333
randomness	0 0 0.786667 3.54667 0.613333 0.0266667 0 0.0133333 0.0133333 0
july	0 0.0666667 0 0.72 0.04 0.373333 10.8 0 0 0
large	32.0133 0.04 0 89.1733 3.04 40.88 0 0.613333 4.24 0
vector	0 0 71.8133 0 0.12 0 0 0.906667 32.16 0
synapses	0.0133333 19.7467 2.84 0 0.36 0.44 0 0.0266667 0 26.5733
zl	0 0.573333 0.12 0.293333 0.36 0.16 0.173333 0.04 0.0933333 0.186667
upper	0.0133333 64.48 4.49333 0 0 0 0.0133333 0 0 0
smaller	0.0266667 76.4133 0.813333 0 0.04 0 0.4 0 0 0.306667
says	0.04 0.106667 0.16 0 0.0933333 8.6 0 0 0 0
occurrence	1.8 0.306667 0.373333 0.0133333 18.2933 0.0133333 0.0933333 0.0133333 0.08 0.0133333
val-	0.0933333 0 0 5.85333 0 0 0 0 0.0533333 0
likely	0 64.2133 1.06667 0.146667 0.0266667 0.0533333 0.0266667 0.466667 0 0
n	0 0 141.533 0.44 12.7333 0 0.0133333 0.106667 0 0.173333
ues	0.333333 0 0.333333 0 0.826667 0 0.0666667 0 2.44 0
what	0.213333 0.0133333 9.92 0.0266667 0 0.0133333 92.0533 16.6533 0 0.106667
selected	0.0133333 0.04 1.38667 35.0933 0 0 0 0.0266667 0 27.44
nand	0.373333 0.426667 0 0.133333 0.08 0.173333 0.68 0.0133333 0.12 0
find	0.04 15.96 0 86.7467 0.0133333 0.0133333 0 0 2.12 0.106667
access	18.5733 0.0266667 0.04 0.253333 0 0 0 0 0.0266667 0.08
version	0.0133333 0.906667 0.0133333 0 0 0.546667 0.186667 0.0933333 65.6933 13.5467
goes	0.0533333 31.6267 0 0.2 0.0133333 0.0133333 0 0.08 0.0133333 0
obvious	1.86667 31.7867 0.0133333 0 0 0 0 0 0.333333 0
learn	1.36 0.0266667 0.16 0.0133333 0 0.04 20.7733 0.0133333 59.48 0.133333
here	0 1.25333 15.5467 0.413333 114.6 0.0666667 0.04 0.0533333 0.0133333 0.0133333
desired	1.46667 0 0 0.133333 0 0 0 0.08 96.48 0.84
objects	0 31.6 0.04 0.0533333 0.0133333 0 0.28 0.0133333 0 0
let	0 0 0.0266667 0.266667 0.0533333 0.0133333 84.4267 0.0133333 0 0.2
represented	35.7067 76.8933 0.0133333 0.0533333 0.12 0 0 0.2 0 0.0133333
strong	0 0 0 0 0.746667 38.2133 0.0266667 0 0.0133333 0
appears	0.146667 1.76 0 0 0 62.56 0 4.50667 0.0266667 0
equiv-	0.0666667 0.04 0 0.426667 0.253333 0.333333 0 0.56 0.253333 0.0666667
institute	0 0 140.787 0.0133333 0.0266667 14.6533 0.0933333 0 0.413333 0.0133333
k	0 0.32 0 8.25333 97.7867 0 0.0266667 0 0 1.61333
vectors	0 2.8 58.3867 2.96 1.64 0 0 0 0.0666667 0.146667
reports	9.61333 0.64 0 0.0266667 0.493333 0.0266667 0 0.173333 0 0.0266667
amount	14.0667 0.106667 0 0 0 0.493333 0.16 0 63.9867 0.186667
extremes	0 0.0133333 0.773333 0.866667 0.106667 0.0133333 0 0.0133333 0.853333 0.36
proof	1.32 0 0 0.0133333 23.6133 0 0 0 0.0133333 0.04
regardless	0.0266667 17.7733 0.0133333 0.0133333 0.68 0.0133333 0 0.0133333 0.453333 0.0133333
projection	0.0133333 0.0133333 0 0.0133333 19.1733 10.0667 0.0133333 0 0.56 0.146667
merely	0.493333 0 18.8 0.0266667 0.2 0.133333 0.2 0 0 0.146667
boolean	1.16 0 0.0133333 0 21.5733 0.0266667 0.106667 0.84 0.0133333 0.266667
total	0 0 105.8 2.96 0.0266667 0.186667 0.0133333 0 0.0133333 0
asymptotic	0 0.08 0.0133333 17.8 0 0.0533333 0 0 0.186667 0.866667
would	0.96 0 79.3733 0.0533333 0.0266667 3.04 0.133333 63.52 30.7867 0.106667
prove	0.773333 0.0533333 0.0133333 0.0533333 0.0266667 0.146667 0 0.08 25.8533 0
next	0 0 81.9867 0.693333 0 0.0666667 7.72 0 0.32 1.21333
automata	0 0.0133333 0.12 0 0.76 0.0666667 0.293333 0 8.74667 0
taken	3.4 0 0.0266667 0.746667 0 0.213333 76.4133 2.2 0 0
tell	1.74667 0.04 0.12 0.04 0.0533333 0.0133333 2.22667 0.0133333 3.74667 0
knows	0 0 0 0.0533333 0.04 0.133333 6.76 0.0133333 0 0
becomes	0 0.0266667 0.0133333 2.84 84.3333 0.0133333 0 0.76 0 0.0133333
visual	0 0.146667 23.3733 0 0.0266667 0 9.84 0 43.6133 0
appendix	0 0 1.58667 0.0133333 0 0.0533333 4.44 1.88 0.0266667 0
normalized	32.56 0.0133333 0.0533333 0.04 0.333333 0 0 0 0 0
particular	0 0.0133333 0.0133333 0.24 60.5333 0.0133333 0.0133333 0.04 82.1333 0
hold	0 0 19.92 0 0.146667 0.0133333 0.16 9.30667 0.44 0.0133333
must	0 0 0 150.84 0.0133333 0.0933333 0.0266667 5.56 12.0933 0.373333
work	0.0266667 0 0 0.0533333 150.387 0.32 1.06667 25.1467 0 0
itself	0.266667 15.92 0 0 0.613333 0.386667 37.8133 0 0 0
values	0.0133333 0 0.0666667 0 73.9067 0 0 0 79.9467 0.0666667
